75,95737409591675
79,02274775505066
78,21620726585388
81,28826332092285
76,36249470710754
79,42763495445251
73,81802082061768
76,88783121109009
76,41764187812805
79,48547887802124
75,53745031356812
78,60133194923401
74,73658490180969
77,79882097244263
79,5946671962738
82,65835404396057
76,70647478103638
79,78239727020264
72,55522871017456
75,62220454216003
73,94690489768982
77,01183342933655
73,90625190734863
76,96899652481079
74,87253046035767
77,93150782585144
76,52786612510681
79,59054851531982
74,444509267807
77,49810099601746
74,5773708820343
77,63877534866333
75,07694792747498
78,13815689086914
74,95166158676147
78,01833057403564
78,42967224121094
81,49703335762024
73,90280246734619
76,96550107002258
73,45317554473877
76,52232432365417
74,18464636802673
77,24167823791504
77,99492311477661
81,05908942222595
73,00750088691711
76,07406711578369
78,96797442436218
82,03336524963379
75,84486794471741
78,88463306427002
77,19902205467224
80,25097036361694
71,21668076515198
74,27871322631836
74,30175399780273
77,37150454521179
76,19233441352844
79,25972962379456

